2026-04-10 22:47:48 | WARNING | import | 导入预览 AI 增强降级 import_file_id=6 warning=AI 解析暂时不可用，已切换为基础规则解析。原因：TimeoutError
2026-04-10 23:02:03 | INFO | import | 导入预览 AI 增强开始 import_file_id=7 filename=tes22t.txt
2026-04-10 23:02:38 | WARNING | import | 导入预览 AI 增强降级 import_file_id=7 warning=AI 解析响应超时，已停止本次 AI 增强并切换为基础规则解析。
2026-04-10 23:08:54 | INFO | import | 导入预览 AI 增强开始 import_file_id=8 filename=tes22t.txt
2026-04-10 23:10:04 | WARNING | import | 导入预览 AI 增强降级 import_file_id=8 warning=AI 解析响应超时（等待上限 70 秒），已停止本次 AI 增强并切换为基础规则解析。
2026-04-10 23:13:28 | INFO | import | 导入预览 AI 增强开始 import_file_id=9 filename=tes22t.txt
2026-04-10 23:15:24 | WARNING | import | AI 输出校验失败 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=无法解析 JSON 输出: {
    "characters": [
        {
            "name": "马可",
            "role": "飞行员/赏金猎人",
            "background": "驾驶红色飞行艇的飞行员，与空贼对抗，被意大利空军追捕",
            "personality_tags": ["勇敢", "固执", "沉默寡言"],

2026-04-10 23:17:14 | WARNING | import | AI 输出校验失败 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=无法解析 JSON 输出: {
    "characters": [
        {
            "name": "马可",
            "role": "飞行员，前意大利空军王牌，绰号“红猪”",
            "background": "前意大利空军王牌飞行员，现为赏金猎人，驾驶飞行艇，被意大利空军追捕，与空贼曼马团敌对",
            "personality_ta
2026-04-10 23:19:05 | WARNING | import | AI 输出校验失败 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=无法解析 JSON 输出: {
    "characters": [
        {
            "name": "马可",
            "role": "飞行员/赏金猎人",
            "background": "驾驶红色飞行艇的飞行员，与空贼对抗，被意大利空军追捕，与吉娜有深厚情感联系",
            "personality_tags": ["勇敢", "固执"
2026-04-10 23:19:05 | WARNING | import | 导入预览 AI 增强降级 import_file_id=9 warning=AI 解析暂时不可用，已切换为基础规则解析。原因：无法解析 JSON 输出: {
    "characters": [
        {
            "name": "马可",
            "role": "飞行员/赏金猎人",
